loan_amount,income,Credit_Score,age
116500,1740.0,758,25-34
206500,4980.0,552,55-64
406500,9480.0,834,35-44
456500,11880.0,587,45-54
696500,10440.0,602,25-34
706500,10080.0,864,35-44
346500,5040.0,860,55-64
266500,3780.0,863,55-64
376500,5580.0,580,55-64
436500,6720.0,788,55-64
136500,4020.0,723,55-64
466500,9540.0,501,35-44
206500,3780.0,884,65-74
436500,,520,55-64
226500,7860.0,773,35-44
76500,2220.0,685,45-54
356500,5340.0,846,25-34
156500,3120.0,534,65-74
406500,5340.0,629,45-54
586500,12540.0,688,55-64
306500,16860.0,668,65-74
136500,2100.0,758,>74
306500,2880.0,692,55-64
316500,2760.0,620,65-74
336500,4980.0,846,35-44
426500,8940.0,533,45-54
476500,6780.0,518,45-54
196500,3840.0,812,25-34
186500,3840.0,534,55-64
436500,4920.0,647,35-44
246500,5400.0,683,25-34
216500,,705,55-64
306500,5580.0,701,35-44
316500,3720.0,591,45-54
506500,7500.0,647,25-34
266500,3540.0,889,45-54
406500,9180.0,651,55-64
656500,9660.0,716,45-54
256500,3780.0,780,65-74
396500,7560.0,799,35-44
396500,9060.0,766,35-44
166500,3480.0,868,35-44
466500,0.0,765,45-54
236500,3120.0,673,35-44
866500,13620.0,876,35-44
416500,7380.0,886,45-54
436500,4920.0,772,55-64
356500,3720.0,640,55-64
386500,,798,45-54
596500,6780.0,858,25-34
196500,9060.0,543,25-34
206500,9600.0,846,65-74
136500,3360.0,555,65-74
166500,4560.0,603,65-74
606500,22500.0,808,35-44
86500,3300.0,519,55-64
116500,4140.0,786,45-54
426500,6000.0,769,45-54
166500,6600.0,685,35-44
426500,11340.0,556,35-44
376500,7080.0,567,65-74
286500,4800.0,632,35-44
706500,8520.0,818,35-44
146500,2760.0,584,<25
446500,7140.0,750,55-64
286500,5820.0,808,55-64
166500,2100.0,838,65-74
636500,12000.0,741,65-74
226500,3720.0,820,25-34
316500,5880.0,665,65-74
156500,3300.0,783,>74
706500,8400.0,663,35-44
196500,5520.0,612,65-74
166500,2040.0,739,65-74
486500,8580.0,812,45-54
406500,10740.0,571,45-54
146500,2400.0,870,35-44
306500,12600.0,793,35-44
266500,5040.0,804,35-44
436500,7860.0,801,35-44
446500,5700.0,711,55-64
216500,2580.0,673,55-64
476500,15180.0,634,45-54
466500,8700.0,834,55-64
326500,5400.0,764,25-34
656500,8160.0,865,25-34
506500,9180.0,593,45-54
246500,,511,35-44
186500,5640.0,533,65-74
56500,7980.0,677,65-74
486500,9840.0,774,65-74
346500,11460.0,638,>74
136500,3660.0,644,55-64
586500,7140.0,732,35-44
336500,7440.0,586,55-64
76500,2940.0,642,35-44
286500,,872,65-74
136500,3000.0,898,55-64
486500,14640.0,734,45-54
416500,3840.0,639,25-34
186500,2880.0,506,55-64
186500,5700.0,664,65-74
316500,7680.0,670,45-54
346500,,577,35-44
326500,6840.0,857,55-64
256500,10260.0,653,55-64
226500,3120.0,595,<25
226500,17340.0,639,55-64
906500,12180.0,787,35-44
386500,5520.0,560,45-54
496500,6060.0,613,25-34
106500,5220.0,514,45-54
186500,2640.0,867,45-54
246500,4920.0,717,55-64
126500,4800.0,872,>74
226500,4200.0,619,45-54
416500,,668,45-54
146500,8160.0,640,45-54
216500,4440.0,600,55-64
396500,11400.0,524,55-64
246500,3240.0,883,25-34
316500,3300.0,503,65-74
296500,3840.0,887,45-54
436500,,604,65-74
226500,6600.0,644,35-44
506500,,648,35-44
296500,8400.0,797,35-44
386500,5820.0,806,25-34
106500,6540.0,845,55-64
706500,15240.0,815,45-54
176500,5280.0,585,45-54
496500,8280.0,729,35-44
606500,16740.0,538,65-74
